2024-06-10T15:19:30.517Z [INFO] - Server is running on port 3000
2024-06-10T15:19:31.573Z [INFO] - MongoDB connected successfully.
2024-06-10T15:20:00.728Z [INFO] - Running scheduled task
2024-06-10T15:20:00.804Z [INFO] - Read data from file: C:\Users\Dell\Desktop\server\EVAL4\MOCK_DATA.json
2024-06-10T15:21:05.689Z [INFO] - Processing chunk: 29 / 50
2024-06-10T15:21:05.825Z [INFO] - Processing chunk: 30 / 50
2024-06-10T15:21:05.952Z [INFO] - Processing chunk: 31 / 50
2024-06-10T15:21:06.430Z [INFO] - Processing chunk: 32 / 50
2024-06-10T15:21:06.557Z [INFO] - Processing chunk: 33 / 50
2024-06-10T15:21:06.689Z [INFO] - Processing chunk: 34 / 50
2024-06-10T15:21:06.818Z [INFO] - Processing chunk: 35 / 50
2024-06-10T15:21:06.943Z [INFO] - Processing chunk: 36 / 50
2024-06-10T15:21:07.069Z [INFO] - Processing chunk: 37 / 50
2024-06-10T15:21:07.504Z [INFO] - Processing chunk: 38 / 50
2024-06-10T15:21:07.631Z [INFO] - Processing chunk: 39 / 50
2024-06-10T15:21:07.760Z [INFO] - Processing chunk: 40 / 50
2024-06-10T15:21:07.894Z [INFO] - Processing chunk: 41 / 50
2024-06-10T15:21:08.031Z [INFO] - Processing chunk: 42 / 50
2024-06-10T15:21:08.488Z [INFO] - Processing chunk: 43 / 50
2024-06-10T15:21:08.615Z [INFO] - Processing chunk: 44 / 50
2024-06-10T15:21:08.744Z [INFO] - Processing chunk: 45 / 50
2024-06-10T15:21:08.871Z [INFO] - Processing chunk: 46 / 50
2024-06-10T15:21:09.002Z [INFO] - Processing chunk: 47 / 50
2024-06-10T15:21:09.452Z [INFO] - Processing chunk: 48 / 50
2024-06-10T15:21:09.588Z [INFO] - Processing chunk: 49 / 50
2024-06-10T15:21:09.753Z [INFO] - Processing chunk: 50 / 50
2024-06-10T15:22:00.725Z [INFO] - Running scheduled task
2024-06-10T15:22:00.734Z [INFO] - Read data from file: C:\Users\Dell\Desktop\server\EVAL4\MOCK_DATA.json
2024-06-10T15:22:00.737Z [INFO] - Parsed data successfully from file: C:\Users\Dell\Desktop\server\EVAL4\MOCK_DATA.json
2024-06-10T15:22:00.739Z [INFO] - Processing chunk: 1 / 50
2024-06-10T15:22:00.874Z [INFO] - Processing chunk: 2 / 50
2024-06-10T15:22:01.005Z [INFO] - Processing chunk: 3 / 50
2024-06-10T15:22:01.136Z [INFO] - Processing chunk: 4 / 50
2024-06-10T15:22:01.268Z [INFO] - Processing chunk: 5 / 50
2024-06-10T15:22:01.393Z [INFO] - Processing chunk: 6 / 50
2024-06-10T15:22:01.872Z [INFO] - Processing chunk: 7 / 50
2024-06-10T15:22:01.999Z [INFO] - Processing chunk: 8 / 50
2024-06-10T15:22:02.122Z [INFO] - Processing chunk: 9 / 50
2024-06-10T15:22:02.250Z [INFO] - Processing chunk: 10 / 50
2024-06-10T15:22:02.376Z [INFO] - Processing chunk: 11 / 50
2024-06-10T15:22:02.852Z [INFO] - Processing chunk: 12 / 50
2024-06-10T15:22:02.977Z [INFO] - Processing chunk: 13 / 50
2024-06-10T15:22:03.107Z [INFO] - Processing chunk: 14 / 50
2024-06-10T15:22:03.234Z [INFO] - Processing chunk: 15 / 50
2024-06-10T15:22:03.357Z [INFO] - Processing chunk: 16 / 50
2024-06-10T15:22:03.819Z [INFO] - Processing chunk: 17 / 50
2024-06-10T15:22:03.960Z [INFO] - Processing chunk: 18 / 50
2024-06-10T15:22:04.096Z [INFO] - Processing chunk: 19 / 50
2024-06-10T15:22:04.230Z [INFO] - Processing chunk: 20 / 50
2024-06-10T15:22:04.360Z [INFO] - Processing chunk: 21 / 50
2024-06-10T15:22:04.818Z [INFO] - Processing chunk: 22 / 50
2024-06-10T15:22:04.957Z [INFO] - Processing chunk: 23 / 50
2024-06-10T15:22:05.084Z [INFO] - Processing chunk: 24 / 50
2024-06-10T15:22:05.209Z [INFO] - Processing chunk: 25 / 50
2024-06-10T15:22:05.338Z [INFO] - Processing chunk: 26 / 50
2024-06-10T15:22:05.814Z [INFO] - Processing chunk: 27 / 50
2024-06-10T15:22:05.941Z [INFO] - Processing chunk: 28 / 50
2024-06-10T15:22:06.064Z [INFO] - Processing chunk: 29 / 50
2024-06-10T15:22:06.189Z [INFO] - Processing chunk: 30 / 50
2024-06-10T15:22:06.313Z [INFO] - Processing chunk: 31 / 50
2024-06-10T15:22:06.815Z [INFO] - Processing chunk: 32 / 50
2024-06-10T15:22:06.946Z [INFO] - Processing chunk: 33 / 50
2024-06-10T15:22:07.187Z [INFO] - Processing chunk: 34 / 50
2024-06-10T15:22:07.326Z [INFO] - Processing chunk: 35 / 50
2024-06-10T15:22:07.452Z [INFO] - Processing chunk: 36 / 50
2024-06-10T15:22:07.579Z [INFO] - Processing chunk: 37 / 50
2024-06-10T15:22:07.870Z [INFO] - Processing chunk: 38 / 50
2024-06-10T15:22:07.994Z [INFO] - Processing chunk: 39 / 50
2024-06-10T15:22:08.131Z [INFO] - Processing chunk: 40 / 50
2024-06-10T15:22:08.256Z [INFO] - Processing chunk: 41 / 50
2024-06-10T15:22:08.382Z [INFO] - Processing chunk: 42 / 50
2024-06-10T15:22:08.851Z [INFO] - Processing chunk: 43 / 50
2024-06-10T15:22:08.976Z [INFO] - Processing chunk: 44 / 50
2024-06-10T15:22:09.145Z [INFO] - Processing chunk: 45 / 50
